Date,Open,High,Low,Close,Adj Close,Volume
May 29, 2026,111.17,111.29,111.11,111.21,111.21,3040886
May 1, 2026,111.27,111.49,109.94,111.21,110.65,44045200
Apr 1, 2026,110.31,111.88,110.28,111.56,111.00,37092200
Mar 1, 2026,111.83,111.83,109.58,110.36,109.81,74365300
Feb 1, 2026,110.43,111.98,110.16,111.88,111.32,47145800
Jan 1, 2026,110.00,110.69,109.68,110.48,109.92,55778300
Dec 1, 2025,110.62,110.81,109.57,109.91,108.70,61387300
Nov 1, 2025,110.94,111.52,110.55,111.26,109.68,59511000
Oct 1, 2025,111.30,112.24,110.84,111.38,109.60,63651500
Sep 1, 2025,110.48,112.26,110.44,111.22,109.04,77623500
Aug 1, 2025,110.02,111.35,109.79,111.17,108.73,55388400
Jul 1, 2025,109.60,110.28,109.03,109.67,106.89,58681000
Jun 1, 2025,108.64,110.16,108.07,110.04,106.98,48934100
May 1, 2025,110.02,110.23,107.98,109.29,105.74,41756700
Apr 1, 2025,110.49,111.51,106.47,110.52,106.24,61207300
Mar 1, 2025,110.36,111.23,109.20,111.09,106.79,44175600
Feb 1, 2025,108.65,110.41,107.79,110.34,106.07,36453600
Jan 1, 2025,106.78,108.11,106.09,108.01,103.83,51298500
Dec 1, 2024,108.25,109.11,106.04,106.55,102.10,57211300
Nov 1, 2024,108.36,108.77,107.06,108.76,104.13,47596000
Oct 1, 2024,110.66,111.03,107.71,108.31,103.58,46409700
Sep 1, 2024,109.22,111.06,109.00,110.47,105.62,38919600
Aug 1, 2024,108.19,109.61,107.65,108.87,103.92,28224600
Jul 1, 2024,105.99,108.20,105.85,108.18,102.84,36465900
Jun 1, 2024,106.03,107.38,105.86,106.78,100.82,34117600
May 1, 2024,105.02,106.92,104.67,106.70,100.08,41168600
Apr 1, 2024,107.02,107.09,105.25,105.53,98.93,50520800
Mar 1, 2024,106.61,107.82,106.15,107.41,100.69,38466500
Feb 1, 2024,108.14,108.54,105.68,106.72,100.04,43541500
Jan 1, 2024,107.16,107.86,106.46,107.85,101.10,49013300
Dec 1, 2023,104.79,108.06,104.79,107.49,100.52,62436400
Nov 1, 2023,102.51,105.46,102.46,105.19,97.93,57537400
Oct 1, 2023,103.24,103.86,101.74,102.80,95.55,70916800
Sep 1, 2023,105.69,105.70,103.09,103.72,96.11,45168500
Aug 1, 2023,106.56,106.91,104.57,106.07,98.09,67486000
Jul 1, 2023,107.26,107.83,105.59,107.16,98.63,65467000
Jun 1, 2023,108.04,108.23,107.01,107.62,98.77,67445300
May 1, 2023,109.35,110.48,107.42,108.30,98.88,76968400
Apr 1, 2023,110.38,111.26,109.18,110.18,100.48,67885800
Mar 1, 2023,106.88,110.51,106.20,110.25,100.54,110182900
Feb 1, 2023,108.98,109.81,106.35,107.18,97.74,70122600
Jan 1, 2023,107.20,109.61,106.36,108.65,99.09,68871700
Dec 1, 2022,108.48,110.20,106.28,106.44,96.64,76744900
Nov 1, 2022,107.06,108.37,104.91,108.34,98.37,53047800
Oct 1, 2022,105.61,107.05,104.77,106.39,96.60,95410700
Sep 1, 2022,111.84,112.33,104.63,104.90,94.04,73664800
Aug 1, 2022,117.04,117.32,113.72,113.91,101.12,64455900
Jul 1, 2022,114.79,118.48,113.34,118.23,104.44,83600800
Jun 1, 2022,117.60,118.36,113.01,113.91,99.46,108129100
May 1, 2022,119.55,120.04,117.02,118.94,103.05,116916000
Apr 1, 2022,122.75,123.58,120.43,121.07,104.22,104186600
Mar 1, 2022,127.29,129.48,124.29,124.57,107.04,110861600
Feb 1, 2022,125.90,127.25,122.92,127.18,108.91,162740700
Jan 1, 2022,128.69,128.71,125.05,126.54,108.36,157180000
Dec 1, 2021,129.15,129.99,127.57,129.20,109.80,86297700
Nov 1, 2021,128.70,131.37,127.86,129.66,110.09,77752200
Oct 1, 2021,127.58,130.22,127.48,128.67,108.88,96202700
Sep 1, 2021,128.48,129.53,127.40,127.69,107.30,72519000
Aug 1, 2021,129.88,130.22,128.64,129.59,108.25,77258700
Jul 1, 2021,127.35,130.65,127.16,130.58,108.37,94127400
Jun 1, 2021,127.17,128.24,126.45,128.01,105.67,70659300
May 1, 2021,126.56,128.29,126.51,127.77,105.04,66282000
Apr 1, 2021,125.38,127.16,124.99,126.99,104.15,45463400
Mar 1, 2021,125.60,126.27,124.54,125.50,102.93,69280300
Feb 1, 2021,127.85,128.06,123.51,125.83,103.20,61306000
Jan 1, 2021,127.49,128.27,126.36,127.99,104.97,52830000
Dec 1, 2020,126.12,127.68,125.68,127.65,104.56,46474200
Nov 1, 2020,125.25,126.51,124.32,126.42,103.29,52411600
Oct 1, 2020,126.07,126.51,125.17,125.23,101.98,53070500
Sep 1, 2020,127.04,127.28,126.08,126.50,103.02,52691900
Aug 1, 2020,125.85,127.15,125.29,126.98,103.41,43564600
Jul 1, 2020,122.86,125.92,122.72,125.86,102.50,30027000
Jun 1, 2020,121.83,123.36,120.26,123.00,100.17,34736500
May 1, 2020,121.05,121.98,120.61,121.80,98.95,30319100
Apr 1, 2020,118.76,122.65,118.32,121.31,98.40,58791600
Mar 1, 2020,120.26,123.16,107.37,117.92,95.65,118698800
Feb 1, 2020,118.56,120.49,117.78,120.03,97.26,30710900
Jan 1, 2020,116.93,119.10,116.59,119.06,96.47,31076400
Dec 1, 2019,115.86,116.97,115.77,116.57,94.28,20890600
Nov 1, 2019,116.09,116.89,115.40,116.38,94.11,26237700
Oct 1, 2019,115.64,117.16,115.27,116.06,93.70,27410300
Sep 1, 2019,117.51,117.94,115.14,116.29,93.84,28476400
Aug 1, 2019,114.79,118.22,114.72,117.65,94.71,27547600
Jul 1, 2019,114.98,115.56,114.25,115.24,92.28,22294000
Jun 1, 2019,114.73,115.98,113.96,115.49,91.97,27715900
May 1, 2019,113.27,115.32,112.46,115.27,91.76,25815100
Apr 1, 2019,112.91,113.45,112.30,113.32,90.21,37305700
Mar 1, 2019,110.82,113.30,110.54,113.07,90.01,23687600
Feb 1, 2019,110.99,111.41,110.37,110.88,88.27,19429900
Jan 1, 2019,109.57,111.11,109.50,111.07,88.42,26536300
Dec 1, 2018,109.13,109.92,108.90,109.51,86.91,31236600
Nov 1, 2018,108.61,109.38,107.53,109.27,86.64,25956800
Oct 1, 2018,110.41,110.48,108.82,108.84,86.22,44261700
Sep 1, 2018,111.58,111.65,110.27,110.62,87.33,31810400
Aug 1, 2018,111.11,112.51,111.01,112.09,88.12,26544500
Jul 1, 2018,112.57,113.05,111.55,111.84,87.59,21974600
Jun 1, 2018,111.92,113.04,111.48,112.87,88.13,27504800
May 1, 2018,111.98,112.85,111.04,112.48,87.44,23916000
Apr 1, 2018,112.80,113.22,111.76,112.61,87.31,22526500
Mar 1, 2018,111.98,113.17,111.77,113.05,87.66,32441300
Feb 1, 2018,113.10,113.10,111.28,111.92,86.76,35093000
Jan 1, 2018,113.98,114.00,112.75,113.11,87.69,35550700
Dec 1, 2017,113.40,114.15,112.79,114.08,87.93,21208900
Nov 1, 2017,113.64,114.38,113.47,113.68,87.45,21158900
Oct 1, 2017,113.64,114.15,112.94,113.80,87.51,22488100
Sep 1, 2017,114.35,115.26,113.56,113.58,87.16,17967200
Aug 1, 2017,113.24,114.63,113.24,114.62,87.79,19372500
Jul 1, 2017,113.21,113.98,112.39,113.66,86.83,20994300
Jun 1, 2017,114.12,114.94,113.32,113.43,86.46,21249500
May 1, 2017,114.55,114.78,113.14,114.68,87.19,26660200
Apr 1, 2017,114.55,115.46,114.35,115.01,87.33,25931900
Mar 1, 2017,113.90,114.78,112.61,114.65,87.05,35175600
Feb 1, 2017,113.95,115.05,113.52,114.65,87.05,29448200
Jan 1, 2017,112.96,114.62,112.94,114.18,86.70,46914300
Dec 1, 2016,112.85,113.67,110.90,113.17,85.74,42245700
Nov 1, 2016,115.60,116.05,112.83,113.46,85.96,51736500
Oct 1, 2016,116.63,116.63,115.23,115.86,87.78,26394600
Sep 1, 2016,115.38,116.70,114.37,116.49,87.94,22130800
Aug 1, 2016,116.12,116.76,115.11,116.04,87.26,22249200
Jul 1, 2016,117.00,117.55,115.66,116.90,87.52,21211900
Jun 1, 2016,114.26,116.86,113.92,116.67,87.32,27348900
May 1, 2016,114.66,115.42,113.36,114.14,85.42,28198700
Apr 1, 2016,114.79,115.14,113.59,114.88,85.98,24956000
Mar 1, 2016,112.87,114.74,111.66,114.64,85.80,27427900
Feb 1, 2016,111.26,112.83,110.80,112.76,84.39,18091600
Jan 1, 2016,110.22,111.55,109.77,111.40,83.37,15989300
Dec 1, 2015,110.82,111.33,108.98,109.68,82.09,18137400
Nov 1, 2015,110.71,111.00,109.51,110.80,82.92,12780600
Oct 1, 2015,111.10,111.96,110.48,110.96,83.00,11386200
Sep 1, 2015,111.18,111.29,109.79,110.69,82.57,11789600
Aug 1, 2015,112.59,112.84,110.77,111.58,83.23,18152600
Jul 1, 2015,111.71,113.29,111.42,112.65,84.03,12943800
Jun 1, 2015,113.06,113.11,110.75,112.05,83.58,10916700
May 1, 2015,114.15,114.23,111.90,113.21,84.45,10946300
Apr 1, 2015,114.08,115.59,113.77,114.36,85.30,21737800
Mar 1, 2015,114.05,114.61,111.50,113.59,84.73,13490800
Feb 1, 2015,115.49,115.76,111.94,114.14,85.14,12053300
Jan 1, 2015,112.22,115.71,112.22,115.63,86.25,13173000
Dec 1, 2014,113.37,113.46,111.19,112.01,83.51,14794200
Nov 1, 2014,113.00,113.63,112.33,113.26,84.44,11842900
Oct 1, 2014,112.47,116.25,112.28,113.08,84.30,14623600
Sep 1, 2014,114.62,114.73,111.67,112.07,83.41,17304100
Aug 1, 2014,114.78,116.14,114.41,115.25,85.51,9700700
Jul 1, 2014,114.76,115.74,113.80,114.91,85.01,10291800
Jun 1, 2014,114.78,115.55,113.45,115.36,84.86,11174400
May 1, 2014,113.42,116.34,113.40,115.59,84.83,10463100
Apr 1, 2014,111.91,113.85,111.40,113.58,83.36,17505300
Mar 1, 2014,112.94,113.25,111.32,112.10,82.27,17280600
Feb 1, 2014,112.25,112.88,111.37,112.70,82.71,10404300
Jan 1, 2014,109.99,112.27,109.95,112.21,82.35,16827400
Dec 1, 2013,111.40,111.42,109.68,109.90,80.59,15434700
Nov 1, 2013,112.53,112.64,110.87,111.61,81.76,11582200
Oct 1, 2013,112.51,113.54,111.61,112.92,82.68,12598600
Sep 1, 2013,110.18,112.58,108.63,112.58,82.36,14337600
Aug 1, 2013,112.35,113.66,109.41,110.74,80.96,16482800
Jul 1, 2013,111.37,113.55,110.61,112.87,82.41,20525400
Jun 1, 2013,115.91,116.75,108.81,112.01,81.58,40619100
May 1, 2013,121.91,121.91,116.01,116.73,84.80,26877600
Apr 1, 2013,121.02,122.81,120.90,122.15,88.68,23396700
Mar 1, 2013,120.94,121.52,119.89,121.27,88.04,24720700
Feb 1, 2013,121.05,121.15,119.89,121.01,87.85,25809700
